geneID_human	geneID_mouse	humanMouseConnection	diseaseName	DO_ID	OMIM_ID	mouseStrain	mouseMGI_ID	mouseMP_ID	MPnames
35	ABCA2	Abca2	n				Abca2<tm1Kdt>,Abca2<tm1Nina>	MGI:99606	MP:0005378 MP:0005376 MP:0005386 MP:0010768 MP:0005389 MP:0003631	nervous system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,behavior/neurological phenotype,reproductive system phenotype,mortality/aging
36	ABCA3	Abca3	y	pulmonary alveolar proteinosis	DOID:12120	OMIM:265120;OMIM:300770;OMIM:610913;OMIM:610921;OMIM:614370	Abca3<Gt(OST452397)Lex>,Abca3<tm1.1Holz>,Abca3<tm1a(EUCOMM)Hmgu>,Abca3<tm1b(EUCOMM)Hmgu>,Abca3<tm1Dgen>,Abca3<tm1Frm>,Abca3<tm1Holz>,Abca3<tm1Nina>	MGI:1351617	MP:0005385 MP:0010768 MP:0005388 MP:0005386 MP:0005376	homeostasis/metabolism phenotype,cardiovascular system phenotype,behavior/neurological phenotype,respiratory system phenotype,mortality/aging
37	ABCA4	Abca4	y	retinitis pigmentosa 19	DOID:0110354	OMIM:601718	Abca4<tm1.1Rsmy>,Abca4<tm1a(EUCOMM)Wtsi>,Abca4<tm1Ght>,Abca4<tm1Kpal>,Abca4<tm2.1Kpal>	MGI:109424	MP:0001186 MP:0005385 MP:0005397 MP:0005391 MP:0003631 MP:0005390 MP:0005376 MP:0005387	pigmentation phenotype,nervous system phenotype,homeostasis/metabolism phenotype,cardiovascular system phenotype,immune system phenotype,skeleton phenotype,vision/eye phenotype,hematopoietic system phenotype
38	ABCA5	Abca5	n				Abca5<tm1Akya>	MGI:2386607	MP:0005391 MP:0005370 MP:0005386 MP:0005385 MP:0010768 MP:0005379 MP:0005369 MP:0005376	muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,cardiovascular system phenotype,behavior/neurological phenotype,vision/eye phenotype,mortality/aging
39	ABCA6	Abca6	n				Abca6<tm2a(KOMP)Wtsi>,Abca6<tm2b(KOMP)Wtsi>	MGI:1923434	MP:0005397 MP:0003631 MP:0005376	nervous system phenotype,homeostasis/metabolism phenotype,hematopoietic system phenotype
40	ABCA7	Abca7	n				Abca7<Gt(OST369896)Lex>,Abca7<tm1Frm>,Abca7<tm2a(EUCOMM)Hmgu>,Abca7<tm2b(EUCOMM)Hmgu>	MGI:1351646	MP:0005375 MP:0005376 MP:0005385 MP:0005367	renal/urinary system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,cardiovascular system phenotype
41	ABCA8	Abca8a	n					MGI:2386846		
42	ABCA8	Abca8b	n					MGI:1351668		
43	ABCA8	Abca8a	n					MGI:2386846		
44	ABCA8	Abca8b	n					MGI:1351668		
45	ABCA9	Abca9	n				Abca9<em1(IMPC)J>	MGI:2386796		
46	ABCB1	Abcb1a	y	inflammatory bowel disease 13	DOID:0110893	OMIM:612244	Abcb1a<mds>,Abcb1a<tm1.1Kane>,Abcb1a<tm1Bor>,Abcb1a<tm1Kane>	MGI:97570	MP:0005387 MP:0003631 MP:0005377 MP:0005381 MP:0010768 MP:0005385 MP:0005397 MP:0005386 MP:0005370 MP:0005376 MP:0005379 MP:0005378	nervous system phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
47	ABCB10	Abcb10	n				Abcb10<tm1.1Tafu>,Abcb10<tm1.2Tafu>,Abcb10<tm1Lex>	MGI:1860508	MP:0005370 MP:0005380 MP:0005397 MP:0005385 MP:0010768 MP:0010771 MP:0005376 MP:0005384	liver/biliary system phenotype,homeostasis/metabolism phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
48	ABCB11	Abcb11	n				Abcb11<tm1a(EUCOMM)Hmgu>,Abcb11<tm1b(EUCOMM)Hmgu>,Abcb11<tm1Wng>,Abcb11<tm2(EGFP/cre/ERT2)Wtsi>	MGI:1351619	MP:0005391 MP:0010768 MP:0005386 MP:0005370 MP:0005388 MP:0005376 MP:0005378	liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,behavior/neurological phenotype,respiratory system phenotype,vision/eye phenotype,mortality/aging
49	ABCB4	Abcb4	y	cholecystitis	DOID:1949	OMIM:600803	Abcb4<tm1Bor>	MGI:97569	MP:0005370 MP:0002006 MP:0005389 MP:0005397 MP:0005385 MP:0005381 MP:0005390 MP:0005384 MP:0005387 MP:0005376 MP:0005379 MP:0005378	neoplasm,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,reproductive system phenotype,skeleton phenotype,hematopoietic system phenotype
50	ABCB5	Abcb5	n				Abcb5<em1(IMPC)Wtsi>,Abcb5<tm1.1Nyf>,Abcb5<tm1.2Nyf>	MGI:1924956		
51	ABCB6	Abcb6	n				Abcb6<tm1a(KOMP)Wtsi>,Abcb6<tm1e(KOMP)Wtsi>,Abcb6<tm1Jsch>,Abcb6<tm1Pkr>	MGI:1921354	MP:0010768 MP:0005397 MP:0005384 MP:0005376 MP:0010771	homeostasis/metabolism phenotype,cellular phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
52	ABCB7	Abcb7	n				Abcb7<tm1.1Mdf>,Abcb7<tm1Mdf>	MGI:109533	MP:0005380 MP:0005370 MP:0010768 MP:0005385 MP:0005376 MP:0005378 MP:0005384	liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,mortality/aging
53	ABCB8	Abcb8	n				Abcb8<Gt(OST448795)Lex>,Abcb8<tm1Hard>	MGI:1351667	MP:0005385 MP:0005369 MP:0005376	muscle phenotype,homeostasis/metabolism phenotype,cardiovascular system phenotype
54	ABCB9	Abcb9	n				Abcb9<tm1b(KOMP)Wtsi>,Abcb9<tm1c(KOMP)Wtsi>,Abcb9<tm1(KOMP)Vlcg>	MGI:1861729	MP:0005379	endocrine/exocrine gland phenotype
55	ABCC1	Abcc1	n				Abcc1<tm1Acs>,Abcc1<tm1Bor>	MGI:102676	MP:0005376 MP:0005387 MP:0003631 MP:0005397 MP:0010768	nervous system phenotype,homeostasis/metabolism phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
56	ABCC10	Abcc10	n				Abcc10<tm1Eah>	MGI:2386976	MP:0005376 MP:0005379 MP:0010768 MP:0005378 MP:0005397 MP:0005387	homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
57	ABCC12	Abcc12	n				Abcc12<tm1Bor>	MGI:2441679		
58	ABCC2	Abcc2	n				Abcc2<tm1.1(ABCC2)Arte>,Abcc2<tm1Ahs>,Abcc2<tm1Dgen>,Abcc2<tm2a(KOMP)Wtsi>,Abcc2<tm2b(KOMP)Wtsi>	MGI:1352447	MP:0005367 MP:0005376 MP:0005370 MP:0005397	renal/urinary system phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,hematopoietic system phenotype
59	ABCC3	Abcc3	n				Abcc3<tm1Bor>,Abcc3<tm1Kruh>	MGI:1923658	MP:0005376 MP:0010771 MP:0005386	homeostasis/metabolism phenotype,behavior/neurological phenotype,integument phenotype
60	ABCC4	Abcc4	n				Abcc4<Gt(OST41182)Lex>,Abcc4<Gt(OST41632)Lex>,Abcc4<Gt(pU21)93Imeg>,Abcc4<Gt(RRC212)Byg>,Abcc4<tm1Jsch>,Abcc4<tm1Kruh>	MGI:2443111	MP:0005386 MP:0005397 MP:0005385 MP:0010768 MP:0005381 MP:0003631 MP:0005387 MP:0005367 MP:0005378 MP:0010771 MP:0005379 MP:0005376	nervous system phenotype,renal/urinary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
61	ABCC5	Abcc5	n				Abcc5<em1(IMPC)H>,Abcc5<em2(IMPC)H>,Abcc5<Gt(OST259452)Lex>,Abcc5<tm1a(EUCOMM)Hmgu>,Abcc5<tm1Bor>	MGI:1351644		
62	ABCC6	Abcc6	y	pseudoxanthoma elasticum	DOID:2738	OMIM:177850;OMIM:264800	Abcc6<Dyscalc1-C3H/DiSnA>,Abcc6<Dyscalc1-C3H/HeNCrl>,Abcc6<Dyscalc1-C57BL/10>,Abcc6<Dyscalc1-C57BL/6J>,Abcc6<Dyscalc1-C57BL/6NCrl>,Abcc6<Dyscalc1-C57BL/6Ola>,Abcc6<Dyscalc1-DBA/2J>,Abcc6<Dyscalc1-DBA/2Ola>,Abcc6<rs32756904-C>,Abcc6<rs32756904-T>,Abcc6<tm1Aabb>,Abcc6<tm1Jfk>	MGI:1351634	MP:0005376 MP:0010771 MP:0005391 MP:0005367 MP:0005385	renal/urinary system phenotype,homeostasis/metabolism phenotype,cardiovascular system phenotype,vision/eye phenotype,integument phenotype
63	ABCC8	Abcc8	n				Abcc8<tm1.1Fmas>,Abcc8<tm1.1Mgn>,Abcc8<tm1Jbry>,Abcc8<tm1Mgn>,Abcc8<tm2.1Jbry>	MGI:1352629	MP:0005379 MP:0005376	homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype
64	ABCC9	Abcc9	n				Abcc9<tm1.1Mcn>,Abcc9<tm1Cfb>,Abcc9<tm1Lex>	MGI:1352630	MP:0005378 MP:0005369 MP:0005384 MP:0005376 MP:0010768 MP:0005385	muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,cardiovascular system phenotype,mortality/aging
65	ABCD1	Abcd1	y	adrenoleukodystrophy	DOID:10588	OMIM:202370;OMIM:300100	Abcd1<tm1a(EUCOMM)Wtsi>,Abcd1<tm1Kan>,Abcd1<tm1Kds>,Abcd1<tm1Ymd>	MGI:1349215	MP:0005397 MP:0002873 MP:0005389 MP:0005386 MP:0005387 MP:0003631 MP:0005391 MP:0005379 MP:0005376	normal phenotype,nervous system phenotype,homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,vision/eye phenotype,hematopoietic system phenotype
66	ABCD2	Abcd2	n				Abcd2<tm1Apuj>,Abcd2<tm1Sfp>	MGI:1349467	MP:0003631 MP:0005387 MP:0005386 MP:0005397 MP:0005379 MP:0005376	nervous system phenotype,homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype
67	ABCD3	Abcd3	y	congenital bile acid synthesis defect 5	DOID:0111066	OMIM:616278	Abcd3<em1(IMPC)J>,Abcd3<tm1Safe>	MGI:1349216	MP:0005376 MP:0005384 MP:0005370	liver/biliary system phenotype,homeostasis/metabolism phenotype,cellular phenotype
68	ABCD4	Abcd4	n				Abcd4<tm1a(EUCOMM)Hmgu>	MGI:1349217	MP:0010771 MP:0005386	behavior/neurological phenotype,integument phenotype
69	ABCE1	Abce1	n				Abce1<Gt(OST213088)Lex>,Abce1<Tg(Tyr)2295G-2b3Ove>,Abce1<tm1.1(KOMP)Vlcg>,Abce1<tm1a(EUCOMM)Hmgu>,Abce1<tm1b(EUCOMM)Hmgu>,Abce1<tm1(KOMP)Vlcg>	MGI:1195458	MP:0010768	mortality/aging
70	ABCF1	Abcf1	n				Abcf1<Gt(XK097)Byg>	MGI:1351658	MP:0010768	mortality/aging
71	ABCF2	Abcf2	n				Abcf2<Gt(OST281648)Lex>	MGI:1351657		
72	ABCF3	Abcf3	n				Abcf3<tm1Lex>	MGI:1351656		
73	ABCG1	Abcg1	n				Abcg1<tm1Asch>,Abcg1<tm1Ched>,Abcg1<tm1Dgen>,Abcg1<tm1Tall>,Abcg1<tm1Yah>	MGI:107704	MP:0005376 MP:0005384 MP:0005378 MP:0005375 MP:0005370 MP:0005388 MP:0005386 MP:0005387 MP:0005390 MP:0005397	liver/biliary system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,skeleton phenotype,hematopoietic system phenotype
74	ABCG2	Abcg2	n				Abcg2<tm1.1(KOMP)Vlcg>,Abcg2<tm1.1Ssf>,Abcg2<tm1Ahs>,Abcg2<tm1Bsor>,Abcg2<tm1(KOMP)Vlcg>,Abcg2<tm2Bsor>,Abcg2<tm3.1(cre/ERT2)Bsor>	MGI:1347061	MP:0002873 MP:0005397 MP:0005386 MP:0005370 MP:0005367 MP:0005387 MP:0003631 MP:0005375 MP:0010771 MP:0005384 MP:0005376	normal phenotype,nervous system phenotype,renal/urinary system phenotype,liver/biliary system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype,integument phenotype
75	ABCG4	Abcg4	n				Abcg4<tm1Dgen>	MGI:1890594	MP:0005376 MP:0005384	homeostasis/metabolism phenotype,cellular phenotype
76	ABCG5	Abcg5	n				Abcg5<tm1.1Hobb>,Abcg5<tm1Plo>,Abcg5<trac>	MGI:1351659	MP:0005369 MP:0005384 MP:0005376 MP:0005378 MP:0005385 MP:0005397 MP:0005381 MP:0005387 MP:0005386 MP:0005370 MP:0010768 MP:0005389	muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,hematopoietic system phenotype,mortality/aging
77	ABCG8	Abcg8	n				Abcg8<tm1.1Hobb>,Abcg8<tm1a(KOMP)Wtsi>,Abcg8<tm1b(KOMP)Wtsi>,Abcg8<tm1Elk>	MGI:1914720	MP:0005370 MP:0005381 MP:0005384 MP:0005376	liver/biliary system phenotype,homeostasis/metabolism phenotype,digestive/alimentary phenotype,cellular phenotype
78	ABHD1	Abhd1	n					MGI:1931013		
79	ABHD10	Abhd10	n				Abhd10<em1(IMPC)Mbp>,Abhd10<Gt(OST33236)Lex>	MGI:2442422		
80	ABHD11	Abhd11	n				Abhd11<em1(IMPC)Mbp>,Abhd11<Gt(OST266174)Lex>	MGI:1916008		
81	ABHD12	Abhd12	y	PHARC syndrome	DOID:0080181	OMIM:612674	Abhd12<Gt(OST369007)Lex>,Abhd12<tm1Crv>	MGI:1923442	MP:0005377 MP:0003631 MP:0005387 MP:0005386 MP:0005397 MP:0005369 MP:0005376	nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype
82	ABHD12B	Abhd12b	n					MGI:2685650		
83	ABHD13	Abhd13	n				Abhd13<em1(IMPC)Mbp>	MGI:1916154		
84	ABHD14A	Abhd14a	n				Abhd14a<tm2a(EUCOMM)Wtsi>	MGI:1915894	MP:0005390	skeleton phenotype
85	ABHD14B	Abhd14b	n				Abhd14b<Gt(OST278313)Lex>	MGI:1923741		
86	ABHD15	Abhd15	n				Abhd15<tm1b(KOMP)Wtsi>	MGI:1914727		
87	ABHD16A	Abhd16a	n				Abhd16a<tm1a(EUCOMM)Wtsi>	MGI:99476	MP:0005397 MP:0010768 MP:0005376 MP:0005387 MP:0005378	homeostasis/metabolism phenotype,growth/size/body region phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
88	ABHD16B	Abhd16b	n				Abhd16b<tm1(KOMP)Vlcg>	MGI:3607711		
89	ABHD17A	Abhd17a	n				Abhd17a<tm1a(KOMP)Wtsi>	MGI:106388	MP:0005376 MP:0005397 MP:0005387	homeostasis/metabolism phenotype,immune system phenotype,hematopoietic system phenotype
90	ABHD17B	Abhd17b	n				Abhd17b<em1(IMPC)J>,Abhd17b<Gt(OST230394)Lex>	MGI:1917816		
91	ABHD17C	Abhd17c	n				Abhd17c<Gt(OST365397)Lex>	MGI:1917428		
92	ABHD18	Abhd18	n					MGI:1915468		
93	ABHD2	Abhd2	n				Abhd2<Gt(OST208746)Lex>,Abhd2<Gt(pUHachi)8025Imeg>	MGI:1914344	MP:0005384 MP:0005376 MP:0005385	homeostasis/metabolism phenotype,cellular phenotype,cardiovascular system phenotype
94	ABHD3	Abhd3	n					MGI:2147183		
95	ABHD4	Abhd4	n				Abhd4<Gt(OST185216)Lex>	MGI:1915938		
96	ABHD5	Abhd5	y	neutral lipid storage disease	DOID:0050729	OMIM:275630	Abhd5<tm1.1Lqyu>,Abhd5<tm1.1Rze>,Abhd5<tm1a(KOMP)Wtsi>,Abhd5<tm1Murm>,Abhd5<tm1Rze>	MGI:1914719	MP:0005387 MP:0005390 MP:0005385 MP:0005397 MP:0005389 MP:0010768 MP:0005370 MP:0005376 MP:0005384 MP:0005369 MP:0005378 MP:0010771 MP:0005379	muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,reproductive system phenotype,skeleton phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
97	ABHD6	Abhd6	n				Abhd6<em1(IMPC)Mbp>,Abhd6<Gt(OST237695)Lex>,Abhd6<tm1a(EUCOMM)Hmgu>,Abhd6<tm1c(EUCOMM)Hmgu>	MGI:1913332		
98	ABHD8	Abhd8	n				Abhd8<tm1a(EUCOMM)Wtsi>,Abhd8<tm1b(EUCOMM)Wtsi>	MGI:1918946	MP:0005371 MP:0005390 MP:0005386 MP:0005378	limbs/digits/tail phenotype,growth/size/body region phenotype,behavior/neurological phenotype,skeleton phenotype
99	ABI1	Abi1	n				Abi1<tm1.1Lko>,Abi1<tm1.2Lko>,Abi1<tm1Pen>	MGI:104913	MP:0003631 MP:0005387 MP:0005380 MP:0005378 MP:0005397 MP:0005385 MP:0010768 MP:0005382 MP:0005376 MP:0005384	nervous system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,craniofacial phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
100	ABI2	Abi2	n				Abi2<tm1b(EUCOMM)Wtsi>,Abi2<tm1Pen>	MGI:106913	MP:0005384 MP:0005386 MP:0005387 MP:0003631 MP:0005391 MP:0005397	nervous system phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,vision/eye phenotype,hematopoietic system phenotype
101	ABI3	Abi3	n				Abi3<tm1.1(KOMP)Vlcg>,Abi3<tm1(KOMP)Vlcg>	MGI:1913860		
102	ABI3BP	Abi3bp	n				Abi3bp<tm1a(KOMP)Wtsi>,Abi3bp<tm1e.1(KOMP)Mbp>,Abi3bp<tm1e(KOMP)Mbp>	MGI:2444583	MP:0010768	mortality/aging
103	ABL1	Abl1	n				Abl1<m1>,Abl1<tm1.1Gcos>,Abl1<tm1.1Goff>,Abl1<tm1.1Jyjw>,Abl1<tm1Ajk>,Abl1<tm1Gcos>,Abl1<tm1Goff>,Abl1<tm1Mlg>,Abl1<tm2.1Goff>,Abl1<tm2.2Goff>	MGI:87859	MP:0005385 MP:0005397 MP:0010768 MP:0002873 MP:0005380 MP:0005388 MP:0005370 MP:0005386 MP:0005387 MP:0005390 MP:0005381 MP:0003631 MP:0005382 MP:0005391 MP:0005378 MP:0005379 MP:0005376 MP:0005384 MP:0005369	normal phenotype,nervous system phenotype,muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,craniofacial phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,skeleton phenotype,vision/eye phenotype,hematopoietic system phenotype,mortality/aging
104	ABL2	Abl2	n				Abl2<Gt(kin)Byg>,Abl2<Gt(OST407367)Lex>,Abl2<tm1a(EUCOMM)Hmgu>,Abl2<tm1Ajk>,Abl2<tm1c(EUCOMM)Hmgu>	MGI:87860	MP:0005386 MP:0005380 MP:0010768 MP:0005389 MP:0005385 MP:0003631 MP:0005384 MP:0005376 MP:0005378	nervous system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,reproductive system phenotype,mortality/aging
105	ABLIM1	Ablim1	n				Ablim1<tm1H>,Ablim1<tm1Lex>,Ablim1<tm1Tili>	MGI:1194500	MP:0002873	normal phenotype
106	ABLIM2	Ablim2	n					MGI:2385758		
107	ABLIM3	Ablim3	n					MGI:2442582		
108	ABO	Abo	n				Abo<tm1.1(KOMP)Vlcg>,Abo<tm1(KOMP)Vlcg>	MGI:2135738		
109	ABR	Abr	n				Abr<tm1a(KOMP)Wtsi>,Abr<tm1Jhg>	MGI:107771	MP:0005384 MP:0005386 MP:0003631 MP:0005377 MP:0010768 MP:0002873	normal phenotype,nervous system phenotype,hearing/vestibular/ear phenotype,cellular phenotype,behavior/neurological phenotype,mortality/aging
110	ABRA	Abra	n				Abra<tm1Eno>	MGI:2444891	MP:0005376 MP:0005385	homeostasis/metabolism phenotype,cardiovascular system phenotype
111	ABRACL	Abracl	n					MGI:1920362		
